# ============================================================================
# Home Boehmecke Infrastructure - AI Reference Document
# ============================================================================
# This file provides context for automated diagnostics. Keep it updated.
# Last updated: 2026-03-01
# ============================================================================

# ============================================================================
# NETWORK TOPOLOGY
# ============================================================================
# Three VRFs with distinct security zones:
#
# VRF vs001 (Internet):
#   VLAN 2  | Untrust           | WAN/Internet facing
#
# VRF vs002 (DMZ):
#   VLAN 11 | Nachbar           | 192.168.170.0/29  | Neighbor network
#   VLAN 12 | DMZ               | 192.168.255.80/28 | DMZ servers
#   VLAN 13 | Transfer          | 192.168.255.64/28 | Inter-VRF routing
#   VLAN 18 | Guest-WLAN        | 192.168.255.96/28 | Guest wireless
#   VLAN 21 | Services          | 192.168.190.8/29  | IaC services (vs002-services00)
#
# VRF vs003 (Backend/Trust):
#   VLAN 3  | Server            | 192.168.0.160/27, 192.168.179.0/24 | Production servers
#   VLAN 4  | WLAN Clients      | 192.168.188.0/24  | Wireless clients
#   VLAN 5  | Gaming            | 192.168.181.0/28  | Gaming devices
#   VLAN 6  | Cameras           | 192.168.189.0/27  | Security cameras
#   VLAN 7  | FW Management     | 192.168.175.0/29  | Firewall management
#   VLAN 8  | Multimedia        | 192.168.179.0/24  | Media devices
#   VLAN 10 | SW Management     | 192.168.175.8/29  | Switch management
#   VLAN 14 | AP Management     | 192.168.175.16/29 | Access point management
#   VLAN 15 | Admin             | 192.168.190.0/29  | Administrative access
#   VLAN 16 | Home              | 192.168.190.128/25| Home automation
#   VLAN 17 | Work              | 192.168.190.32/28 | Work devices
#   VLAN 19 | Vault Isolated    | 192.168.190.16/28 | Secrets management (isolated)
#   VLAN 20 | IaC Zone          | 192.168.190.64/28 | IaC orchestration (vs003-iac00)
#
# Management access: All hosts reachable via hbcadm01 or hbcadm02 (VLAN 15)

# ============================================================================
# HOSTS
# ============================================================================
# Format: hostname | type | vlan | role | description

# --- Hypervisor ---
hbpm01.internal.boehmecke.org | hypervisor | 3 | proxmox | Primary Proxmox host, all VMs/containers, local LVM storage (lvm_m2_2tb)
hbsw03.internal.boehmecke.org | switch | 10 | switch | Alcatel managed switch

# --- Storage (often powered off) ---
hblan.internal.boehmecke.org | nas | 3 | backup-nas | QNAP TS-419P II, backup target
hblanmc.internal.boehmecke.org | nas | 3 | primary-nas | QNAP TS-251+, primary storage, NFS exports

# ============================================================================
# PROXMOX CTID ALLOCATION SCHEME
# ============================================================================
# Range       | Purpose
# ------------|----------------------------------------
# 100-199     | Legacy pets (frozen, not IaC-managed)
# 200-999     | IaC production services
# 1000-1099   | Templates
# 1100-1999   | Test/development
#
# Current IaC Production Containers:
#   200=hbcapt01 (apt-cacher-ng)
#   201=hbcgit01 (Gitea)
#   202=hbcadm01 (admin jumpserver)
#   203=hbcweb01 (web server)
#   204=hbcweb02 (reverse proxy)
#   205=hbcdmz01 (Alpine DMZ)
#
# Pet Containers:
#   107=hbcvau01 (Vault)
#   111=hbciac01 (IaC orchestration)
#   112=hbcadm02 (Alpine emergency admin)
#
# Legacy Containers (100-199):
#   100=hbcsrv01  102=hbcsrv13  103=hbcsrv02  104=hbcsrv12
#   106=hbcsrv07  108=hbcsrv14  109=hbcsrv06
#   110=hbcsrv08  113=hbcsrv15  115=hbcsrv16
#   116=hbcsrv17  119=hbcsrv03  120=hbcsrv04  121=hbcsrv05
#   122=hbcsrv10
#
# VMs (qm):
#   114=hbvsrv03  117=hbvsrv15

# ============================================================================
# PERSISTENT STORAGE VOLUMES (IaC)
# ============================================================================
# Format: volume_name | size | container | mountpoint | purpose
#
# Naming convention: data-<hostname>-<service>
#
data-hbciac01-iac          | 8G   | hbciac01 | /opt/persistent            | IaC workspace
data-hbcapt01-aptcacherng  | 50G  | hbcapt01 | /opt/persistent/apt-cacher-ng | apt-cacher-ng cache
data-hbcgit01-gitea         |      | hbcgit01 | /opt/persistent/gitea      | Gitea repos + data
data-hbcadm01-admin         |      | hbcadm01 | /opt/persistent            | admin workspace
data-hbcweb01-web           |      | hbcweb01 | /opt/persistent            | web content + logs
data-hbcweb02-rp            | 2G   | hbcweb02 | /opt/persistent            | reverse proxy logs
data-hbcdmz01-fail2ban      | 100M | hbcdmz01 | /opt/persistent/fail2ban   | fail2ban ipset data

# ============================================================================
# MYSQL DATABASES
# ============================================================================
filerun_new   | hbcsrv12 | hbcsrv06  | FileRun file hosting
hbai          | hbcsrv12 | hbcsrv13  | HBAI-MON diagnostic system
homeassistant | hbcsrv12 | hbvsrv15  | Home Assistant database
my_wiki       | hbcsrv12 | hbcsrv06  | Wiki application
observium2023 | hbcsrv12 | hbcsrv13  | Observium monitoring (syslog disabled)
phpipam       | hbcsrv12 | hbcsrv06  | IP Address Management
quicklinks    | hbcsrv12 | hbcsrv06  | Quick links web tool
radius-21     | hbcsrv12 | hbcsrv05  | FreeRADIUS database (dynamic_clients enabled)
syslog        | hbcsrv12 | hbcsrv13  | Centralized rsyslog
wordpress     | hbcsrv12 | hbcsrv06  | WordPress site

# ============================================================================
# DOCKER CONTAINERS
# ============================================================================
# On hbcsrv06 (legacy, migrating to hbcweb01/02):
open-webui      | hbcsrv06 | AI chat interface
filerun         | hbcsrv06 | File hosting frontend
portainer-agent | hbcsrv06 | Managed by Portainer on hbcsrv16
#
# On hbcsrv16 (primary Docker host):
portainer-ce    | hbcsrv16 | Docker management UI (master)
radicale        | hbcsrv16 | CalDAV/CardDAV server

# ============================================================================
# NFS MOUNTS
# ============================================================================
hbcsrv06 | hblanmc | nfs-documentos | FileRun document storage
hbcsrv08 | hblanmc | nfs-videos     | Jellyfin video library
hbcsrv08 | hblanmc | nfs-series     | Jellyfin TV series
hbcsrv08 | hblanmc | nfs-fotos      | Jellyfin photo library

# ============================================================================
# BACKUP RELATIONSHIPS
# ============================================================================
# Proxmox (hbpm01) backs up all VMs/containers to hblan (CIFS: HBLAN-BACKUP)
# hblanmc syncs critical data to hblan
# hbcvau01 (Vault) included in Proxmox backup rotation
# hbciac01 workspace included in Proxmox backup rotation

# ============================================================================
# VAULT INFRASTRUCTURE
# ============================================================================
# Server: hbcvau01.internal.boehmecke.org
#   CTID: 107 | VLAN 19 | 192.168.190.18/28
#   TLS: Certificate from hbcsrv05 CA
#   Auth: AppRole (iac-deploy, iac-admin)
#   Secrets: Proxmox, FortiGate, DNS, RADIUS, SNMP, FreeRADIUS DB, PKI, Git

# ============================================================================
# IAC ORCHESTRATION HOST
# ============================================================================
# Server: hbciac01.internal.boehmecke.org
#   CTID: 111 | VLAN 20 | 192.168.190.66/28
#   Workspace: /opt/persistent/
#   Software: Terraform, Ansible, Vault CLI

# ============================================================================
# COMMON DISK SPACE ISSUES
# ============================================================================
# hbcsrv13: /var/log, MySQL syslog database
# hbvsrv15: Home Assistant database
# hbcsrv12: Binary logs, large databases
# hbpm01: Old backup files, container images

# ============================================================================
# IGNORED DISK ALERTS
# ============================================================================
hblanmc:/mnt/ext
hblanmc:/samba_third_party
hblanmc:/new_root
hblanmc:/share/CACHEDEV1_DATA/.qpkg/MediaSignPlayer/CodexPackExt/share
hblanmc:/share/CACHEDEV1_DATA
